time_tick,lac_X_value,lac_Y_value,lac_Z_value
2.118693,-0.563049,-0.057048,0.574885
2.148821,0.005202,-0.052403,0.138214
2.178949,1.190347,0.207885,-0.673703
2.219121,2.569219,0.273586,-1.654022
2.249249,3.818876,-0.226035,-2.431146
2.279377,4.055048,-0.311009,-2.758512
2.319548,4.708643,-2.083170,-3.052684
2.349677,4.155430,-4.958982,-2.555277
2.379805,3.990167,-8.428571,-1.120287
2.414976,3.314206,-12.902805,1.829141
2.450105,0.222320,-20.194512,8.880955
2.480233,-7.761788,-22.597076,16.082836
2.510361,-11.954741,-15.403852,15.345110
2.550532,3.258164,18.309906,-3.079641
2.580661,10.529488,52.506062,-9.714292
2.610789,4.969688,66.421775,-24.860002
2.650960,-20.275001,44.687442,-6.191842
2.681089,-34.898095,28.741055,11.851503
2.711217,-58.738742,22.164269,28.541932
2.751388,-64.445689,-17.291567,29.319112
2.781517,-33.847999,-26.982393,24.020358
2.811645,2.511615,-47.608660,14.567497
2.851816,15.897996,-40.000831,37.184392
2.881944,0.471689,-41.732359,36.387959
2.912073,-22.338474,-40.908027,30.215548
2.952244,-65.504693,-19.974976,25.646547
2.982372,-68.790081,-3.603890,25.880079
3.012501,-69.230863,22.465699,20.877665
3.052672,-42.212170,54.784993,39.221392
3.082800,2.421579,86.555537,38.226718
3.112929,30.210427,86.288854,30.044116
3.143057,29.603948,84.469448,-2.976544
3.183228,-26.769748,61.034045,-17.181748
3.213357,-61.264944,47.850758,-11.675065
3.243485,-71.134887,12.322980,8.187033
3.283656,-55.249564,-7.769022,20.597830
3.313785,-0.849893,-31.738450,34.309426
3.343913,8.365865,-46.189469,63.584124
3.384084,0.281485,-50.072989,59.121496
3.414213,-19.172217,-43.145264,35.411008
3.444341,-63.377458,-31.911594,19.564601
3.484512,-68.922267,-3.307225,15.413940
3.514640,-70.063584,27.685175,10.463530
3.544769,-41.687125,71.875452,20.071767
3.584940,33.670013,87.065080,23.020837
3.615069,32.292835,85.333562,13.419032
3.645197,-22.578546,81.182438,0.410857
3.685368,-69.625921,61.200808,-1.520949
3.715496,-72.054200,36.650213,14.397911
3.745625,-72.368983,-9.746618,22.855290
3.785796,-26.564915,-21.641816,25.147127
3.815924,9.824764,-46.123313,54.411853
3.846053,28.359346,-39.175667,70.180680
3.886224,-5.364221,-30.238892,52.298956
3.916352,-39.618605,-25.207045,27.209460
3.946481,-68.795954,-20.600362,19.447126
3.976609,-69.125169,5.525570,7.904151
4.016775,-70.930952,49.373156,8.122341
4.051925,-3.654467,87.550325,29.666251
4.087075,53.855331,86.902446,14.794666
4.117203,6.353818,83.994052,11.634094
