time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.890054,-1.245218,12.345012,1.697001
0.920182,-4.435237,13.347542,3.94646
0.960354,-15.738858,11.491595,5.845862
0.990483,-21.888577,3.964101,6.375474
1.020612,-19.538988,-6.200292,7.586413
1.060783,-11.828127,-7.43973,3.887342
1.090912,-10.956973,-0.766541,0.650791
1.121041,-5.45143,-1.371715,-0.840665
1.161212,-2.212373,-4.108835,-2.378056
1.191341,-0.820525,-4.954087,-2.617452
1.22147,0.439836,-3.71047,-1.830141
1.251598,-0.189872,-2.414921,-0.116223
1.29177,0.463644,-2.873275,-2.243762
1.321899,1.944062,-2.373812,-2.644884
1.352028,2.542183,-2.477221,-3.931702
1.392199,0.807973,-1.929736,-0.820047
1.422328,-5.595744,-0.463728,2.982598
1.452457,-4.210259,-1.213363,1.436275
1.492628,-0.382,-0.689252,-0.905379
1.522757,2.754482,-0.624658,0.554843
1.552886,0.283178,5.837081,-1.549239
1.593057,-3.944151,-3.984819,1.309927
1.623186,-9.976195,-5.65384,4.953646
1.653315,-5.071723,-2.352158,7.967485
1.693487,-0.344601,-3.205209,10.179585
1.723615,-0.313786,2.030773,7.553293
1.753744,1.715944,1.594131,3.775017
1.793916,5.652708,4.301071,5.22953
1.824044,-1.477728,6.50959,9.103086
1.854173,4.547126,6.643791,-10.010566
1.894345,3.610867,-0.22074,6.139367
1.924474,-2.390843,-7.164433,7.174833
1.954602,8.373087,-2.682115,6.378894
1.994774,1.922088,11.339457,4.691412
2.024903,0.960213,12.414131,5.482947
2.055031,-0.567737,7.557607,9.114567
2.08516,1.432994,8.086299,1.690486
2.125332,-1.109298,7.473116,-6.000649
2.15546,-2.493032,5.050702,-6.139061
2.185589,-5.238409,0.20629,-7.071585
2.225761,-4.706009,-1.777525,-3.874953
2.25589,-4.321582,-4.795813,-1.485787
2.286018,-2.7832,-6.551874,-1.637625
2.32619,-1.68907,-5.544064,-0.368828
2.356319,-1.711123,-6.49095,1.195506
2.386447,-0.824358,-8.283746,2.345667
2.426619,-4.261698,-9.62381,6.688987
2.456748,-0.653036,-1.554467,1.264824
2.486877,-0.537187,4.765232,2.738789
2.527048,-2.710759,5.222199,-2.08173
2.557177,0.946861,0.855289,-1.136017
2.587306,1.826462,-1.208249,-9.775027
2.627477,10.151282,-0.859407,19.98612
2.657606,-0.394398,4.126636,-2.752613
2.687735,3.426662,-1.51284,-3.062035
2.717864,0.625272,-1.647603,2.680549
2.758035,-1.60953,-2.202338,0.477404
2.788164,-1.865745,-0.993297,-0.250178
2.818293,1.869951,1.307208,-1.147885
2.858464,0.242777,-1.387982,-2.739855
2.888593,3.012707,1.912791,-1.326074
2.918722,-7.027138,2.442186,1.842955
2.958893,9.07327,4.001314,-2.715197
2.989022,2.266372,0.867991,0.041611
3.019151,-2.174693,-1.342416,3.921023
3.05932,0.934988,-0.331179,2.657717
3.089448,-1.9798,-0.229493,2.112167
3.119577,-2.423107,2.228481,1.273617
3.159749,-0.389204,3.145593,0.769139
3.189878,-0.849797,3.974108,-0.5369
3.220006,1.089134,4.051652,-1.159988
3.260178,-0.59965,-1.445019,-1.086568
3.290307,-1.948277,-5.234751,-3.593433
3.320435,-1.069068,0.052535,-3.314662
3.360607,1.732105,-0.376546,0.422017
3.390736,1.118341,-0.308165,-0.750373
3.420865,1.281382,-0.410208,0.290799
3.450993,2.025567,-0.542581,0.992658
3.491165,-0.490903,1.361952,0.601713
3.521294,-2.487688,-3.989824,1.088876
3.556465,1.726505,-3.410768,-0.041712
3.591594,2.068687,0.66494,2.479967
3.621723,-0.47121,1.922051,-0.42604
3.651852,0.304134,1.145501,-1.335193
3.692023,-0.419895,2.454068,-2.817862
3.722152,0.589987,3.913312,-1.488435
3.752281,1.077571,4.947723,-2.977393
3.792452,0.383301,3.85189,-2.927753
3.822581,0.843915,5.020344,-1.057105
3.85271,1.22337,1.586899,1.797428
3.892882,0.920216,-1.355598,4.275428
3.92301,2.909236,-3.645544,4.478793
3.953139,2.063714,-1.934796,4.345244
3.993311,-1.763121,-2.736628,2.891563
4.02344,-2.194881,-2.446784,0.509616
4.053567,-1.578527,-1.735788,0.605878
4.093739,-2.998748,0.684957,0.262069
4.123868,-1.80105,1.721307,-0.307222
4.153996,-0.958341,2.107162,0.102237
4.184125,-0.85729,1.883331,-0.566843
4.224297,0.219216,3.37293,0.59994
4.254426,2.477884,2.525748,-0.371262
4.294597,2.7313,-1.021936,4.420752
4.324726,-0.633295,-4.96826,2.281276
4.354855,-2.120602,-4.516636,1.314838
4.384983,-1.387456,-2.637092,0.287277
4.425155,-1.074048,-2.230855,4.328734
4.455284,-2.358471,-2.537507,5.386556
4.485413,-2.149099,-0.8616,4.199827
4.525584,-1.346935,0.73941,4.231966
4.555713,0.045444,0.915896,0.171603
4.585842,4.456949,-1.59944,-2.426014
4.626013,4.327366,-0.628849,0.294624
4.656142,-2.564272,-2.100043,2.799428
4.686271,4.578512,-1.341515,-0.328763
4.726443,8.279798,5.833702,-4.056895
4.756571,1.030564,8.171461,8.114732
4.7867,-3.416866,4.511792,1.705055
4.826872,-2.56798,0.762197,-8.981472
4.857,-3.97091,-0.428646,-4.646751
4.887129,0.095432,-3.458817,-2.705896
4.927301,3.711967,-4.833649,-0.166543
4.95743,1.438857,-4.843313,2.443808
4.987558,-1.250128,-5.438936,1.210018
5.017687,2.447092,-2.454639,-0.878979
5.057859,3.119683,0.74914,2.30563
5.087988,0.203927,2.073792,-1.086985
5.118116,0.086677,-0.616713,1.251667
5.158288,-0.787456,2.370334,-0.27196
5.188417,-3.722121,3.209689,1.919821
5.218545,-2.177331,-0.423243,2.093069
5.258717,0.5887,1.847074,-1.006982
5.288846,2.182072,1.883505,0.18974
5.318975,1.868358,-1.310392,0.558408
5.359146,0.095908,-1.618916,0.267696
5.389275,0.685418,-0.2927,0.284651
5.419404,-0.927219,-2.025046,-0.886514
5.459575,0.835892,2.293729,-0.636834
5.489704,-0.656467,0.822709,0.68157
5.519833,-1.905332,-2.363558,2.486252
5.560005,0.848664,1.790483,-1.62088
5.590133,2.767155,1.980999,0.346982
5.620262,1.127164,1.296732,-2.458174
5.660434,-0.951123,-0.770211,-1.273335
5.690562,0.211098,1.387668,0.4047
5.720691,0.257604,0.679604,0.622727
5.760863,0.285276,0.328859,-0.166009
5.790992,1.370093,0.627283,-0.259296
5.82112,-0.615068,0.677168,0.308042
5.851249,0.167603,-0.793216,-0.847207
5.891421,2.645483,0.642332,0.127267
5.921549,1.219319,0.4293,-1.529913
5.951678,-0.857379,0.09223,0.346981
5.99185,0.593947,-0.735589,-0.820782
6.021979,-0.771624,-1.065561,-0.61657
6.052111,-2.300122,-0.514554,-1.52775
6.092283,-0.838854,-0.516739,-0.240927
6.122412,-1.00564,-0.183333,0.64506
6.15254,-0.224486,-1.039601,-0.695719
6.192712,3.677389,0.557719,1.819224
6.222841,-0.714803,-0.801239,1.251477
6.25297,-3.004377,1.324681,0.605011
6.293141,2.276767,-0.614303,0.744824
6.32327,1.214032,-2.369748,-0.26878
6.353399,-0.724298,2.357341,0.174743
6.39357,3.246908,2.917245,0.074287
6.423699,2.969828,0.520843,0.504465
6.453828,-3.325961,-2.183921,0.535476
6.494,1.055645,3.586267,0.569083
6.524128,1.835388,0.181316,0.506942
6.554257,2.282904,-1.434279,-0.472738
6.594429,2.688793,-0.599751,-1.786914
6.624557,0.604631,-0.80973,-1.485673
6.654686,-4.126173,-1.418758,0.072146
6.684815,-0.846231,1.095021,1.753503
6.724987,-3.574866,-1.575489,2.378413
6.755115,-1.92818,-0.415487,0.213168
6.785244,-0.89446,1.155676,-0.398581
6.825416,0.164565,1.961176,3.745827
6.855544,-2.241305,4.183839,3.51855
6.885673,1.042546,4.646731,1.972798
6.925845,2.100199,-0.342065,2.00176
6.955974,1.414292,-4.634197,0.075723
6.986102,5.316264,-5.740784,-3.373597
7.026274,7.333027,-1.526408,-6.191352
7.0564,3.333105,-2.228556,-2.582498
7.086529,1.329672,-2.377907,-0.465757
7.1267,-0.637986,0.11499,0.102106
7.156829,-0.226742,-5.098858,4.331959
7.186958,-7.955962,-9.466986,0.643727
7.222129,3.24095,3.338737,10.373113
7.257258,6.66132,2.897874,-7.39989
7.287387,5.974503,7.049157,-6.633968
7.327559,-0.560448,-0.064118,0.801882
7.357687,-6.411609,-6.752042,0.088105
7.387816,-1.393498,-5.192778,-0.488253
7.427988,-2.342951,-7.322063,0.646239
7.458117,-0.475418,-8.745545,0.487096
7.488245,9.529385,42.812173,6.446886
7.518374,8.415856,8.514655,-12.71683
7.558546,0.383771,-5.214888,4.142889
7.588674,2.493151,0.687969,-0.011572
7.618803,1.274048,1.402151,0.348607
7.658975,3.425197,-1.628126,-2.733625
7.689104,-0.599309,0.118953,0.449667
7.719232,-1.858988,0.043997,0.604872
7.759404,-2.971287,-0.260424,2.369463
7.789533,-1.506065,0.804237,2.079769
7.819662,0.912449,0.416482,-0.585927
7.859833,0.693797,-0.550971,-0.324245
7.889962,0.071225,-0.296933,-0.647966
7.920091,-0.49333,0.210393,0.567204
7.960262,-1.169686,0.423862,1.635962
7.990391,-0.748613,-2.06532,-1.795614
8.02052,0.978581,0.400753,-1.591276
8.060691,1.848566,0.372509,2.585852
8.090819,0.768519,0.455907,2.58757
8.120948,0.708938,0.361443,-1.095813
8.16112,-0.680416,-1.074059,1.215888
8.191249,-1.182911,0.050966,-0.620922
8.221377,-0.106348,0.727933,0.718543
8.251506,0.766881,0.069494,-1.116841
8.291678,1.065373,-0.581707,-1.82978
8.321807,0.661638,-0.232816,-0.854737
8.351935,0.16976,0.747597,1.195391
8.392107,0.27881,0.335484,1.089392
8.422236,0.31501,1.445564,-0.218478
8.452365,0.412861,1.606733,0.154149
