time_tick,lac_X_value,lac_Y_value,lac_Z_value
1.659422,0.158014,-0.977736,0.892752
1.68955,0.013598,-0.50463,0.794707
1.719678,-0.675221,-0.1712,1.043941
1.759849,0.374748,-0.058382,0.956081
1.789977,-0.694909,0.107843,-0.150337
1.820105,-2.313975,-0.196019,1.655802
1.860276,0.222942,0.233731,-0.097843
1.890403,0.128151,0.304647,-0.712927
1.920532,0.01355,0.598814,-1.475274
1.960702,-0.199576,-0.069241,-0.758697
1.99083,-0.760566,0.23541,-0.510053
2.020958,-0.791141,0.877139,-0.701376
2.061129,-0.567666,0.408253,0.023203
2.091257,-0.754226,0.293028,-0.430154
2.121385,0.408291,0.630216,-0.776244
2.151513,0.616447,0.568245,-0.397692
2.191683,0.167268,0.337829,0.053257
2.221811,-0.207005,0.086118,0.016033
2.251939,-0.209597,0.043442,0.175801
2.29211,-0.035567,-0.024757,0.277078
2.322238,0.254717,-0.133186,0.089849
2.352366,0.305083,-0.402065,0.132659
2.392537,0.544352,-0.333968,0.050902
2.422665,0.805682,-0.154702,0.319937
2.452793,0.754247,-0.216092,0.362742
2.492963,0.605594,-0.388987,-0.271719
2.523091,0.368661,-0.52806,-0.813236
2.553219,-0.045289,-0.816008,-1.087496
2.59339,0.088908,-0.797764,-1.896332
2.623518,0.666872,-0.72337,-2.418845
2.653646,1.018873,-0.397903,-2.57027
2.693816,0.960963,-0.054045,-2.432069
2.723944,1.1385,-0.264202,-1.680659
2.754072,-0.369274,-1.123435,0.210732
2.794243,-2.547048,-0.537634,1.052608
2.824371,-1.251674,0.163381,0.989646
2.854499,0.062717,0.722222,0.479608
2.89467,-0.759733,0.560065,0.427229
2.924798,-1.757523,0.080355,0.372317
2.954926,-2.089664,-0.063477,0.289812
2.985054,-1.591204,-0.067049,-0.137505
3.025224,-1.413777,-0.384922,-0.462442
3.055352,-1.840294,-1.012929,-0.192978
3.08548,-2.359878,-1.13171,0.213666
3.125651,-2.846467,-1.082381,0.749801
3.155779,-2.216376,-0.516965,0.345531
3.185907,-1.544118,-0.178543,-0.784729
3.226078,-1.130584,0.005609,-1.456656
3.256206,-0.71138,0.011009,-1.163033
3.286334,-0.816774,-0.068872,-0.766483
3.326504,-0.929234,0.409242,-0.136539
3.356632,-0.947451,0.870868,0.887325
3.38676,-0.334962,1.040567,1.840106
3.426931,-0.486009,0.92833,2.462369
3.457059,-0.14012,1.260481,2.150064
3.487187,0.92903,1.244883,1.325808
3.527358,1.150444,0.782479,-0.015017
3.557486,0.916245,0.541428,-0.710543
3.587614,1.106224,0.415831,-1.493566
3.627784,1.574093,-0.161624,-1.726377
3.657912,0.859114,-0.167025,-1.948794
3.68804,0.728657,-0.051262,-2.566067
3.728211,1.222987,-0.195227,-3.283346
3.758339,0.941854,-0.241201,-3.803514
3.788467,0.747697,-0.326305,-4.026226
3.818595,0.740848,-0.768773,-3.443676
3.858765,-0.279026,-1.269513,-1.410909
3.888893,-0.675303,-0.855493,-1.915239
3.919021,1.358994,-1.284624,-3.20235
3.959192,5.77168,-1.358616,-3.710612
3.98932,7.318426,-5.120519,-2.199812
4.026975,7.673376,-7.947419,-1.669611
4.062124,-0.714254,-16.938604,10.8556
4.092252,-4.555239,-13.278647,13.363987
4.127401,-2.278892,-8.602787,11.111727
4.162551,-3.166433,-5.927733,7.360777
4.192679,-5.54107,-0.997925,3.194733
4.227828,-5.161974,4.26194,-0.173118
4.257956,-1.99302,10.786331,-3.630775
4.293105,1.312951,19.355775,-6.85992
4.328255,1.600272,21.81987,-5.726829
4.358383,0.11652,19.089796,-5.596597
4.393532,-3.193916,15.661083,-5.311846
4.428681,-6.817042,8.096429,-6.976807
4.458809,-18.015283,-3.606871,-8.79911
4.493959,-36.984448,-19.439138,-1.169661
4.529108,-22.020144,-26.788364,5.446085
4.559236,1.895292,-14.841159,6.694173
4.594385,17.059244,-4.918308,5.699834
4.619492,19.738105,-1.270228,4.391268
4.659673,19.215138,2.61002,3.6034
4.689801,17.054518,3.716785,3.258753
4.719929,12.975116,-0.928594,1.152733
4.7601,1.970236,-12.500082,1.233774
4.790228,-8.529388,-23.578334,6.31767
4.820356,-12.226518,-31.783909,12.490907
4.850484,-23.061446,-21.390299,19.941613
4.890655,-14.740531,8.113478,9.650599
4.920783,-3.451773,17.574149,5.444224
4.950911,2.041497,23.196153,7.382584
4.991081,3.1694,33.928736,5.964564
5.021209,6.433348,30.153219,2.203857
5.051337,3.002601,22.939955,2.73182
5.091508,-6.540214,16.648072,-0.793785
5.121636,-12.31868,6.434647,-1.884055
5.151764,-31.536215,-16.000982,-1.37953
5.191935,-43.02779,-28.665836,5.265048
5.222063,-7.016169,-17.023978,3.327439
5.252191,13.840802,-5.848242,-2.567364
5.292361,22.146742,3.224756,-3.917463
5.322489,20.42366,3.881893,-2.373994
5.352617,18.604498,8.396473,-2.204008
5.392788,13.674932,4.081071,-2.231421
5.422916,9.415111,-4.211324,-1.666945
5.453044,-0.936421,-17.771699,-0.059349
5.493215,-34.148501,-40.496116,16.070152
5.523343,-41.88954,-25.146463,26.363563
5.553471,-22.357708,4.803909,14.097368
5.588641,-3.748718,23.055243,3.968689
5.623769,6.285489,26.846482,5.949745
5.653897,6.106124,29.374543,6.916518
5.684026,6.744582,29.319502,4.583152
5.724196,4.063838,18.907353,5.973472
5.754324,-1.268966,16.438929,3.452718
5.784452,-0.969025,14.329144,1.247758
5.824623,-6.998732,2.58972,-1.773246
5.854751,-39.714513,-15.504671,-7.123162
5.884879,-62.882374,-19.137511,-4.277139
5.92505,-2.991447,-10.126766,3.285693
5.955178,17.800108,-3.467902,-3.061155
5.985306,21.338481,4.960377,-1.321857
6.025476,20.846939,5.538406,1.897634
6.055604,20.877267,2.303332,0.139513
6.085732,18.574054,-1.895228,-1.625949
6.125903,14.09812,-6.326559,1.932742
6.156031,5.200832,-18.811769,6.974388
6.186159,-25.067445,-40.808725,19.470443
6.22633,-48.664461,-27.618953,32.297049
6.256458,-34.27372,10.389344,16.836211
6.286586,-8.894896,26.984673,6.10051
6.316714,4.65403,34.88972,8.15111
6.356884,7.028198,46.045457,10.574852
6.387012,6.89944,39.021888,6.762776
6.41714,-4.514908,27.150065,3.823127
6.457311,-16.344215,24.450614,1.070574
6.487439,-18.500462,13.414513,1.410012
6.517567,-44.318254,-8.058889,7.04997
6.557738,-62.353736,-35.547644,18.588212
6.587866,-3.561822,-27.002665,5.514765
6.617994,24.516873,-7.570856,-0.650261
6.658165,28.9834,3.207905,-4.060313
6.688293,29.159197,1.508087,-3.517729
6.718421,29.415891,-0.616369,-2.59942
6.758591,13.512288,-12.254803,-2.656839
6.788719,-29.580061,-53.487004,7.098112
6.818847,-66.396892,-55.589366,18.275098
6.859018,-35.547735,5.467463,17.286091
6.889146,-11.123524,25.932788,12.331503
6.919274,2.471923,19.161204,22.797635
6.959445,-4.328196,48.950774,23.841785
6.989573,6.19793,45.019098,15.214418
7.019701,4.417696,29.635988,12.555908
7.059872,-15.491248,34.635659,6.323953
7.09,-18.128815,25.836883,5.819594
7.120128,-28.453551,9.867994,6.807033
7.150256,-69.072452,-22.661453,18.082561
7.190426,-44.77301,-37.516136,19.236949
7.220554,6.141967,-19.214798,8.2896
7.250682,24.336348,-3.685947,-1.767464
7.290853,28.496962,-0.573414,-4.217166
7.320981,25.109703,2.916511,-5.101192
7.351109,22.274724,0.013953,-4.832165
7.39128,13.357319,-3.868575,-3.577952
7.421408,6.013658,-11.206958,0.324761
7.451536,-24.156073,-45.960277,12.043189
7.491707,-71.365534,-36.759181,35.249499
7.521835,-30.786917,16.319422,18.480745
7.551963,-5.812705,30.009228,8.989527
7.592133,0.225474,34.809851,10.704152
7.622261,5.856754,41.430805,11.211579
7.652389,10.658957,38.51208,7.912572
7.69256,2.333475,31.909946,7.85594
7.722688,-7.503243,30.777579,7.637507
7.752816,-9.669928,26.017897,6.363452
7.792987,-39.429836,8.459324,2.808251
7.823115,-68.741821,-21.605497,10.39921
7.853243,-57.180542,-28.78534,9.158212
7.883371,13.265715,-22.186266,2.588583
7.923542,29.381826,-2.120204,-5.187331
7.953673,28.318817,2.206397,-3.146337
7.983801,33.966973,4.043276,-6.110718
8.027727,21.790692,-4.765973,-8.423116
8.062876,9.951283,-8.656779,0.448371
8.093004,-17.784454,-38.679068,12.995871
8.128154,-63.383752,-43.868895,34.05948
8.158282,-57.481315,-15.752272,30.483025
8.193431,-15.039567,18.30104,11.108902
8.22858,-1.758655,29.110145,11.146214
8.258708,0.386781,40.723775,14.837885
8.293858,10.06753,45.746774,14.437151
8.329007,3.095092,33.834931,16.959746
8.359135,-12.734051,37.125451,13.722757
8.394285,-15.166775,31.019212,5.194578
8.429434,-20.022588,24.176485,1.167678
8.459562,-61.757667,-3.906357,7.387807
8.494711,-68.006265,-38.985447,24.72773
8.524839,-3.436143,-26.035352,14.5015
8.559989,14.953328,-9.707219,-3.503571
8.595138,22.150064,2.134395,-6.657745
8.625282,28.594342,5.500347,-4.022588
8.65541,24.606879,2.96891,-2.872392
8.685538,21.637149,-0.145663,-1.379068
8.720709,21.956483,0.590014,-0.270446
8.755837,11.701275,-6.804303,1.991939
8.785965,-25.613286,-36.744631,18.535032
8.816093,-71.322016,-51.623804,32.023501
8.856264,-37.237473,-1.141425,16.685551
8.886392,-11.497348,30.692147,7.297446
8.91652,0.567865,45.080068,4.423502
8.956691,13.824803,53.227051,4.67365
8.986819,8.263122,43.551138,11.485023
9.016947,-13.879557,40.899072,17.09012
9.057118,-18.88358,28.85549,13.857094
9.087246,-15.556997,19.520385,7.555763
9.117374,-25.811972,8.031872,5.167493
9.157544,-68.924511,-28.488173,31.961949
9.187672,-48.506442,-39.332474,20.331346
9.2178,6.493115,-21.899656,3.372414
9.257971,21.139007,1.947582,-14.043432
9.288099,30.23834,3.180522,-16.645858
9.318227,24.702566,2.567879,-8.101273
9.353398,11.394202,2.750423,-0.150996
9.388526,8.657384,2.153947,0.97497
9.418654,12.661174,2.951832,-2.00845
9.453825,11.716746,1.274725,-1.292335
9.488953,-12.145549,-31.359061,12.578304
9.519081,-55.350998,-64.507112,56.109356
9.549209,-55.002751,-16.509073,39.158865
9.58938,-11.138362,27.981606,5.136349
9.619508,-6.460219,30.596071,11.466038
9.649636,-6.677035,43.73539,14.76706
9.689807,2.288192,35.867606,11.404029
9.719935,-0.56243,28.355846,11.127113
9.750063,-4.707845,24.657718,9.718037
9.790233,-6.661122,21.319233,8.325496
9.820362,-7.922682,17.950706,7.439303
9.85049,-14.096284,15.642148,4.361373
9.89066,-62.967142,-27.067451,11.234071
9.920788,-69.064091,-26.317459,18.494516
9.950913,-10.141549,-32.809103,12.802627
9.991084,23.09845,-1.173684,-10.958182
10.021212,30.510274,2.3816,-9.554012
10.05134,19.865835,4.555052,-0.244811
10.091511,8.331034,6.250331,4.122483
10.121639,9.864281,6.093437,1.782141
10.151767,12.724379,7.594098,-1.224149
10.186938,15.314646,8.620152,-2.192677
10.222066,8.559228,-7.242173,2.447204
10.252194,-17.935514,-36.912549,19.243824
