time_tick,lac_X_value,lac_Y_value,lac_Z_value
0.515078,-5.984768,-5.804622,-7.115458
0.555249,-12.361099,-3.815337,-9.158037
0.585377,-17.612790,-0.282223,-10.145508
0.615506,-20.934475,3.505055,-5.404486
0.645634,-20.915339,1.257651,11.660389
0.685805,-18.865194,-7.541750,29.835261
0.715933,-8.679125,-12.612146,37.342447
0.746062,-1.936868,-9.705329,33.625352
0.786233,10.238342,6.127739,24.129925
0.816361,19.153659,14.316001,21.867681
0.846489,20.521238,17.677319,31.648220
0.886660,21.737452,13.867538,40.787247
0.916789,19.835371,7.437209,35.057453
0.946917,4.785124,-8.838597,32.670702
0.987088,-23.397904,-31.529913,37.888551
1.017216,-49.208749,-38.980514,26.040973
1.047340,-48.546397,-26.183774,15.320751
1.087511,-36.241400,10.417356,2.914803
1.117640,-22.689904,33.161805,-6.188466
1.147768,-16.946094,41.045091,-8.829926
1.177896,-15.559262,39.629964,-16.761217
1.218067,-22.691225,26.996375,-14.394274
1.248196,-41.034630,8.333104,6.346913
1.283367,-44.507347,-11.994212,24.798370
1.318495,-35.707000,-26.610055,34.354894
1.348623,-18.262674,-22.862035,25.679496
1.378751,-7.492852,-14.482783,18.642083
1.418922,8.106764,-13.388996,25.454779
1.449051,10.112286,-15.625871,44.868426
1.479179,7.648412,-11.969314,54.790960
1.519350,3.733262,-4.174957,46.181047
1.549478,-8.525888,-14.555469,23.881129
1.579607,-26.623406,-37.894017,13.089011
1.619778,-35.071995,-39.540590,5.704384
1.649906,-28.633436,-13.156554,5.270426
1.680034,-32.101007,12.382774,-6.023187
1.720205,-32.923940,20.228902,-18.205980
1.750334,-26.958434,16.065942,-19.340688
1.780462,-26.760645,10.694214,-12.422050
1.820633,-29.418711,3.231466,6.671416
1.850761,-28.360452,-3.478229,23.421115
1.880889,-25.302200,-4.312299,36.437334
1.921061,-12.223113,-7.629065,39.182523
1.951189,-0.187436,-9.213010,30.080144
1.981317,12.531035,-9.450240,22.950271
2.011445,19.329519,-19.258052,21.034418
2.051617,21.137085,-31.661990,20.190689
2.081745,11.276571,-30.372355,26.257244
2.111873,0.435125,-21.420172,28.272467
2.152044,-13.729944,-10.788049,20.073518
2.182172,-26.363855,-20.653504,21.718078
2.212301,-34.665627,-33.153630,16.689113
2.252472,-31.424338,-5.923794,6.700764
2.282600,-35.223230,21.483777,-5.415773
2.312728,-34.387584,23.667451,-17.006218
2.352899,-25.895969,18.394431,-20.984037
2.383028,-35.726760,17.000963,-6.316882
2.413156,-40.885787,6.367176,16.771067
2.453327,-31.546926,-15.492652,37.999408
2.483455,-20.428850,-18.622765,36.622211
2.513584,-11.244547,-16.113012,33.450487
2.553755,1.565102,-5.702486,23.517128
2.583883,10.934364,0.843396,20.105804
2.614011,19.707087,6.989095,28.199834
2.644140,16.363592,13.243540,39.631751
2.684311,9.947712,10.161460,43.441735
2.714439,0.169672,0.656799,30.787656
