time_tick,lac_X_value,lac_Y_value,lac_Z_value
3.715343,1.078345,-1.359814,1.325977
3.745471,5.033024,1.372815,2.641498
3.775599,11.227459,5.472197,14.155217
3.815770,-0.615152,7.614188,3.469139
3.845898,-12.631225,15.240828,11.196942
3.876026,-12.285164,14.452632,14.511681
3.916197,-3.012029,10.035870,14.712546
3.946325,4.103316,7.706750,15.614558
3.976453,6.733769,1.624630,16.680133
4.016624,11.407083,-1.004882,12.300975
4.051773,13.784804,-1.507728,7.578417
4.081901,16.497217,-2.550003,4.065467
4.117051,18.680315,-2.295883,2.457963
4.152200,16.898024,-6.039209,-1.689953
4.182328,11.575186,-7.676490,-2.722012
4.217477,6.659868,-10.420005,-0.782412
4.247605,3.726950,-10.677536,2.979980
4.282755,6.716240,-8.591376,7.665910
4.317904,13.641342,-7.318255,11.760472
4.348032,19.459793,-8.977574,11.695623
4.383182,25.390938,-2.239241,14.267894
4.413310,27.212663,4.923142,4.786957
4.448459,30.731896,9.578780,-2.131772
4.483608,44.417547,9.663795,-10.958265
4.513737,44.849309,2.418437,-1.034959
4.548886,46.242522,-11.843909,27.492271
4.584035,45.072254,-5.347048,68.925175
4.614162,44.470572,13.423850,69.651234
4.644291,25.607583,31.739025,70.421422
4.674435,13.800335,38.112742,46.965078
4.704563,4.157701,40.147612,21.395649
4.744733,-0.978660,33.923176,7.035998
4.774861,-3.438229,37.175233,8.652959
4.804989,-6.146068,31.438933,9.493490
4.845160,-2.219257,21.127889,7.826936
4.875288,1.059974,6.780898,16.079496
4.905416,20.974462,-9.956470,21.745837
4.945587,21.742472,-20.690022,7.740540
4.975715,15.789714,-25.888480,-2.896396
5.005843,10.333634,-18.333068,-7.234043
5.046014,0.297485,-5.456840,-10.383354
5.076142,-3.909362,1.976050,-13.300960
5.106270,-6.588797,3.802741,-16.951096
5.146441,-0.091089,4.238678,-18.207840
5.176569,11.563514,0.505176,-17.789146
5.206697,18.157294,-6.310152,-4.572333
5.246868,18.450869,-5.731525,7.406103
5.276996,7.170224,3.995790,6.230378
5.307124,-1.212629,10.770623,11.220565
5.347294,-7.858579,13.713866,16.320092
5.377423,-5.547705,15.527612,13.876709
5.407551,1.325047,15.163217,8.979341
5.447721,0.112910,12.991460,14.142130
5.477849,6.644488,-0.831699,14.427359
5.507977,3.000158,-4.294141,19.120451
5.538105,14.415568,-13.244116,8.106459
5.578276,7.174896,-17.662804,0.797403
5.608404,7.415109,-6.349441,-6.011033
5.638533,5.875329,1.889953,-10.842265
5.678703,5.243935,2.094906,-13.300141
5.708832,6.085562,1.999956,-16.605209
5.738960,10.082537,-3.311460,-16.231366
5.779131,13.984763,-8.469411,-11.690950
5.809258,16.556030,-9.182996,-0.485728
5.839386,16.852525,-7.969104,6.995021
5.879557,3.459275,7.126479,11.255028
5.909685,-0.055265,13.817581,19.115486
5.939814,-7.294746,6.272681,11.444957
5.979983,-7.580000,10.536743,6.221506
6.010112,-9.777108,11.306280,1.164597
6.040239,-13.456574,4.164291,-12.215573
6.080411,-9.350297,11.592011,-3.518927
6.110538,-7.088229,9.176796,-3.160325
6.140666,-5.530132,4.021661,3.929077
6.180837,-3.382927,-0.715687,11.889948
6.210965,0.933356,1.032855,16.619958
6.241094,3.777125,-1.771697,7.962848
6.281264,4.326603,-1.556720,-3.462902
6.311393,9.761180,0.920906,-9.740212
6.341520,10.483454,-1.439994,-11.591897
6.371648,11.584015,-3.605211,-13.479331
6.411819,14.441673,-2.177925,-7.501324
6.441947,19.143067,-2.644615,-4.458818
6.472076,15.273816,0.643970,1.735330
6.512247,13.663958,6.130846,11.862734
6.542375,17.972254,10.126087,22.177748
6.572502,6.069375,6.286453,16.777270
6.612672,-0.469950,7.356264,5.336965
6.642800,-5.948823,10.839951,6.020287
6.672928,-21.478612,3.051758,9.144337
6.713099,-24.248643,9.020832,11.554762
6.743227,-16.334340,20.214223,17.472509
6.773355,-4.501003,21.620703,22.796496
6.813526,8.416048,11.053795,25.252404
6.843654,11.812786,14.723443,20.643616
6.873782,14.908644,9.329975,9.980679
6.913953,13.708079,5.623782,3.294740
6.944081,17.821226,5.993773,-0.886404
6.974209,20.420898,5.922210,-3.580743
7.014380,18.013523,1.556801,-10.254064
7.044508,19.492108,0.576101,-6.767531
7.074636,20.342518,1.298541,-2.958267
7.109806,20.922286,0.953830,0.150982
7.144935,15.084286,3.510241,12.294642
7.175063,8.968836,7.956583,20.041018
7.205191,7.500673,11.858952,27.789069
7.245361,2.245309,10.643581,22.126542
7.275489,-2.235756,9.498447,4.939929
7.305617,-5.364909,8.177825,-0.009781
7.345788,-17.496131,6.586725,11.331343
7.375916,-29.472304,7.913105,17.872443
7.406044,-31.475520,20.143650,14.220493
7.446215,-9.048435,30.666520,20.695837
7.476343,-0.679252,18.249899,23.662277
7.506471,5.319062,4.943058,22.793127
7.546642,20.033734,2.066125,23.275744
7.576770,18.287851,-1.057761,21.764196
7.606898,17.106319,1.113590,10.325143
7.647069,15.370610,-2.284624,3.666432
7.677197,19.555366,-1.808025,-0.881899
7.707325,18.065086,-6.579288,-4.737291
7.747495,21.617219,-3.695766,2.904942
7.777623,22.837809,-2.022240,2.130920
7.807751,19.777469,-1.389603,8.972039
7.837880,12.725622,-2.306528,13.052561
7.878050,9.164405,8.467507,24.944705
7.908178,8.339967,13.477152,29.461174
7.938306,1.745875,13.490363,14.092732
7.978477,0.080681,10.582644,2.184151
8.008605,-2.168176,10.501289,0.911482
8.051270,-9.888666,13.422925,8.758569
8.081398,-14.956617,21.236017,30.604881
8.116548,-19.140414,27.268840,32.613253
8.151697,-15.535179,21.487756,20.039395
8.181825,-1.873460,14.107700,22.340064
8.216975,7.383675,7.292941,27.021108
8.247103,15.996880,-2.946403,37.225041
8.282252,30.329747,4.894512,37.917750
8.317401,25.474350,4.568339,24.051269
8.347530,23.776164,2.913750,10.236997
8.382679,23.277947,6.602809,2.287032
8.417828,23.823180,4.472302,-5.683388
8.447956,21.586355,0.015324,-9.394545
8.483106,26.573858,-2.486092,-3.489645
8.518255,24.406940,-5.363284,-0.197630
8.548383,21.291378,-4.293899,8.552153
8.583533,10.441439,-0.735700,19.304036
8.618682,5.524645,1.870268,30.617178
8.648810,2.601706,4.378404,34.647242
8.678949,0.536587,7.873216,24.826452
8.709077,-2.065868,9.236030,9.384481
8.739205,-3.224030,10.610432,1.710116
8.779375,-12.249870,12.323561,6.571252
8.809503,-29.390774,14.936173,15.575893
8.839632,-25.932456,30.168149,22.954982
8.879802,-17.648176,17.893762,11.079233
8.909930,-6.665664,11.459235,21.047175
8.940058,2.545861,0.048331,28.073297
8.980229,7.922232,-6.008052,31.394344
9.010357,9.313622,-6.017978,30.566877
9.040485,13.147367,-2.595876,20.342901
9.080656,15.114089,-3.304391,6.475371
9.110784,19.978600,0.031467,2.900839
9.140912,18.877649,-0.357836,-1.980838
9.181083,17.583296,0.635665,-4.972982
9.211211,20.562386,3.264119,-1.029483
9.241339,19.360472,2.392681,-1.661971
9.281509,18.776051,-12.300514,14.427061
9.311637,10.626978,-10.403141,31.887003
9.341765,4.843695,-3.203384,41.110092
9.381936,-0.579090,7.393880,22.408124
9.412064,-1.085409,7.942784,11.473623
9.442192,-0.801488,10.837627,7.624589
9.472320,-8.324583,17.587037,6.933090
