time_tick,lac_X_value,lac_Y_value,lac_Z_value
2.752813,-0.307405,0.430183,-9.843873
2.792984,-3.120315,3.671058,-2.503877
2.823112,-3.290363,2.089345,0.539323
2.85324,-4.169915,5.043793,-3.206185
2.883369,-4.565286,3.683381,-8.989938
2.92354,-4.179506,2.270092,-8.796478
2.953668,-1.095031,-0.845831,-10.501204
2.983797,2.053088,-3.759596,-9.359088
3.023968,5.064831,-11.538708,-6.225369
3.054096,8.219622,-20.711916,-1.736986
3.084225,5.793952,-25.054842,-7.017761
3.124396,-3.676021,-24.454498,-7.418429
3.154524,-10.431946,-19.64171,-9.37423
3.184652,-15.383171,-10.595323,-10.978522
3.224824,-13.639246,4.292867,-6.305002
3.254952,-9.593956,12.21233,-1.002979
3.28508,-3.296717,17.996514,8.125271
3.325251,8.432477,19.216212,11.328651
3.35538,13.044826,19.18676,12.044882
3.385508,12.222328,17.618219,10.342987
3.425679,11.496595,19.19167,9.102378
3.455808,6.060213,21.353702,1.422438
3.485936,0.496236,17.102554,-0.366644
3.526107,-29.719533,17.754167,-15.402422
3.556236,-40.1337,-3.668224,-20.07798
3.586364,-29.191929,-5.452408,-6.370405
3.621535,-22.416604,-11.902099,-2.22458
3.656663,-10.676831,-25.885545,4.594508
3.686792,2.824184,-28.97541,4.272518
3.71692,14.286211,-31.365278,9.411415
3.757091,12.372848,-28.774243,11.71769
3.78722,6.368661,-27.346032,17.647112
3.817348,0.293602,-24.944866,8.108726
3.857519,-20.746617,-30.630678,4.448831
3.887647,-38.259527,-33.329875,-4.069592
3.917776,-66.125622,-33.083212,-23.205786
3.957947,-66.309258,-4.564634,-8.52866
3.993091,-47.882679,20.897595,-1.262377
4.028241,-19.969224,49.369012,0.826957
4.058369,-19.462485,38.286122,18.416487
4.093519,-1.314367,47.75321,4.337763
4.123648,-2.220514,37.950919,-5.261709
4.158797,-8.664177,21.962075,-1.208781
4.193947,-15.213545,12.445679,-8.456499
4.224075,-36.775008,-13.607236,-19.289088
4.259225,-38.735301,-37.135501,-13.897089
4.294375,-13.82785,-29.41515,-3.880648
4.324503,0.642074,-19.569399,6.846891
4.359653,14.087193,-14.507928,5.905769
4.394803,20.575966,-17.531793,10.23066
4.424931,19.635055,-13.797402,18.018617
4.460081,18.378646,-15.533502,10.38407
4.495231,11.143629,-19.321203,10.251703
4.525359,-5.516001,-22.928149,16.646659
4.560509,-26.179406,-33.736118,0.188586
4.585616,-47.874131,-45.261865,-12.44705
4.625792,-53.609692,-15.783576,-5.252652
4.655921,-30.82509,20.748513,-1.671279
4.686049,-14.273642,37.24799,0.664796
4.72622,-5.8273,35.191732,10.462324
4.756348,0.526993,37.610107,4.579572
4.786477,0.419698,33.100631,-3.862703
4.821648,-5.057811,24.945778,-0.931343
4.856776,-12.258514,18.770017,0.62206
4.886905,-30.348599,11.70258,-3.029122
4.917033,-47.956916,-15.567702,-1.881638
4.957204,-40.297681,-34.847327,2.3595
4.987332,-12.312738,-27.99454,3.007935
5.017461,5.070132,-16.674239,7.932208
5.057632,22.126692,-15.7322,1.385956
5.08776,25.549162,-17.086625,5.069065
5.117889,24.235626,-16.464122,8.121185
5.15806,14.841173,-16.916107,6.817875
5.188188,-0.670566,-20.883921,11.343559
5.218317,-16.499813,-25.122471,12.585147
5.258488,-58.077357,-33.995094,0.854554
5.288616,-55.470432,-9.282812,0.743306
5.318745,-32.275788,16.485188,7.116796
5.358917,-7.512869,38.183474,5.429786
5.389045,3.106422,37.582783,11.227226
5.419173,8.598305,39.94313,11.474412
5.459344,2.450165,35.1396,1.541796
5.489473,-11.198061,27.295649,-1.482647
5.519601,-30.647892,11.427479,-4.687921
5.549729,-47.799913,-12.492091,-3.465666
5.589901,-33.805108,-25.247379,-1.667951
5.620029,-9.972159,-21.018605,4.036582
5.6602,4.507199,-15.061055,6.514093
5.690328,14.419935,-14.002602,4.948049
5.720457,22.293876,-20.652377,2.303393
5.750585,27.045161,-22.135647,5.557078
5.790756,16.904087,-18.538388,7.372932
5.820885,6.503612,-20.125225,8.618259
5.851013,-9.629547,-30.076791,13.856921
5.891184,-53.026496,-35.315104,3.697347
5.921312,-58.128465,-14.454941,-0.654324
5.951441,-38.640822,10.000439,5.272705
5.991612,-20.016233,30.640352,9.300332
6.02174,-3.655983,39.30277,5.735187
6.051869,1.842699,38.931536,11.730054
6.09204,2.767517,37.854411,3.874734
6.122168,-4.784156,29.54829,-0.524452
6.152297,-13.885156,18.81416,-0.832106
6.187468,-35.522916,-3.935509,-3.007967
6.222596,-51.482186,-30.378682,-2.321014
6.252724,-26.40136,-32.990115,4.021001
6.292895,1.810226,-14.780376,6.967041
6.323023,14.540731,-12.525842,4.23515
6.353151,20.985847,-12.161494,-0.612949
6.38328,25.661319,-11.434469,6.598127
6.423451,20.373017,-17.054237,2.421495
6.453579,14.41498,-16.339441,4.592125
6.483707,5.650307,-18.025326,7.103212
6.523879,-22.461104,-30.121114,12.683621
6.554007,-56.420085,-33.243966,2.41623
6.584135,-60.921976,-10.101534,0.614609
6.624306,-27.178313,29.173123,3.611221
6.654435,-8.206451,41.493127,-0.768533
6.684563,7.097143,46.165784,12.26374
6.724734,9.063987,49.546264,2.664636
6.754863,-1.4619,38.027499,-2.27693
6.784991,-17.184381,22.520803,2.769198
6.825162,-42.389941,-4.782747,3.672575
6.85529,-49.487081,-18.688005,7.564434
6.885419,-39.805276,-21.963635,9.232643
6.92559,-10.475093,-23.6239,7.327408
6.955718,4.184625,-23.257857,2.440844
6.985847,13.229356,-18.428336,-0.542837
7.026018,24.610657,-21.45751,-4.067619
7.056146,18.722324,-15.870163,3.331632
7.086274,12.081054,-8.834873,7.342055
7.126446,-2.770268,-12.85569,10.306299
7.156574,-21.983736,-23.459038,18.116066
7.186702,-46.951704,-24.591849,11.41977
7.216831,-49.966032,-9.502785,6.776142
7.257002,-24.958343,17.858044,11.541041
7.28713,-8.806774,33.419436,6.785336
7.317258,0.973938,36.354037,7.685816
7.35743,8.504348,39.032351,14.027324
7.387558,2.656136,34.712426,4.045702
7.417686,-3.5694,26.822736,1.933651
7.457857,-21.728032,13.291637,1.003842
7.487986,-47.380024,-4.262283,4.660388
7.518114,-53.770362,-27.810538,2.817528
7.558285,-19.202972,-24.123303,3.776876
7.588414,-0.140311,-17.720749,2.014263
7.618542,10.839716,-13.669441,2.562203
7.658713,18.56189,-15.295987,0.266384
7.688841,23.018548,-13.337857,8.352351
7.71897,20.026224,-12.420249,7.919826
7.759141,12.057334,-17.728242,7.332206
7.789269,-4.264492,-19.430302,13.893175
7.819398,-16.9584,-20.469876,11.109878
7.859569,-55.366201,-28.020417,3.035727
7.889697,-50.585053,-8.642338,2.555821
7.919825,-27.105759,16.906219,5.278797
7.959997,-5.050432,33.445843,6.419701
7.990125,4.636668,33.527394,14.704141
8.020253,7.119371,37.962769,12.391503
8.050382,4.282737,35.248501,4.741059
8.090553,-4.632456,26.980543,-0.025331
8.120681,-20.839683,16.295976,0.35167
8.150809,-44.198606,1.960954,5.740632
8.19098,-51.98724,-27.93199,4.08501
8.221109,-21.98564,-21.252235,3.415828
8.251237,0.53416,-15.628057,4.971171
8.291408,9.092737,-15.482233,1.130868
8.321538,16.236411,-15.936798,5.168079
8.351666,17.920801,-15.870518,5.659331
8.391837,22.243577,-16.482966,3.843613
8.421966,17.917381,-11.192813,4.448466
8.452094,7.197587,-9.863743,6.289147
8.492265,-4.642334,-13.904219,11.312918
8.522393,-41.811861,-25.771898,10.644266
8.552522,-47.231545,-18.753655,7.793641
8.592693,-33.561475,6.829917,5.92328
8.622821,-16.579399,22.124634,4.336191
8.652949,-1.803503,28.768809,-0.023135
