time_tick,lac_X_value,lac_Y_value,lac_Z_value
2.003494,10.878095,35.66243,-1.905585
2.033622,12.998954,26.495939,-5.078396
2.06375,6.915732,18.239357,-7.985619
2.103921,-9.328284,13.822535,-5.73699
2.134049,-26.165775,1.431265,-1.236902
2.164177,-42.110941,-9.875518,0.981026
2.204348,-18.83903,-20.31648,4.641676
2.234476,-1.828342,-17.479465,11.634276
2.264605,9.328341,-17.399877,16.909164
2.304776,16.111944,-22.381948,12.082582
2.334904,11.659956,-20.292631,14.61723
2.365032,6.923909,-16.340742,10.335359
2.405203,-10.517972,-17.814989,9.73966
2.435331,-33.646206,-18.357953,7.073353
2.465459,-45.622341,-2.734275,4.34804
2.50563,-30.677804,17.317971,-5.929485
2.535758,-11.467794,25.60489,-6.441743
2.565886,0.095476,30.571043,-7.883308
2.596015,5.011335,32.889471,-1.073565
2.636186,10.411747,33.642458,-1.779979
2.666314,4.935498,23.672211,-7.205062
2.696442,-2.119135,20.525012,-7.216698
2.736613,-21.750995,6.820654,-3.210868
2.766741,-43.886376,-9.255131,4.437173
2.796869,-45.675095,-17.045643,14.325361
2.83704,-9.582637,-19.029914,8.462462
2.867168,9.685123,-18.834262,8.923693
2.897297,10.793402,-21.859439,10.682458
2.937468,18.812339,-18.449656,20.893835
2.967596,19.351042,-19.132039,17.573943
2.997724,2.548276,-20.684632,14.085264
3.037895,-19.544381,-15.50418,13.443409
3.068023,-38.668214,-15.236184,4.400663
3.098151,-48.266326,-3.03544,-6.882164
3.138322,-27.648271,20.852562,-3.679206
3.16845,-12.91452,24.900834,-7.825758
3.198579,-4.820772,25.89761,-1.229837
3.23875,4.043627,38.531639,1.129699
3.268878,8.713599,27.28098,-3.322195
3.299006,4.734765,21.920007,-4.977048
3.339177,-3.970919,13.149968,-6.172569
3.369305,-22.463641,0.409521,-2.952846
3.399433,-44.491966,-22.105515,8.858226
3.429562,-34.364473,-21.498283,15.303708
3.469732,9.543042,-16.518061,7.050533
3.499861,13.312863,-16.583501,10.810998
3.529989,15.505912,-11.015699,11.483513
3.57016,25.824601,-11.943721,15.689552
3.600288,14.016573,-15.845143,8.752264
3.630416,-4.796505,-19.521668,8.230727
3.670587,-27.71349,-26.226981,5.666366
3.700715,-51.317724,-15.765469,1.485209
3.730844,-34.310331,6.240039,-1.254342
3.771014,-15.375181,22.245254,-4.387469
3.801143,-2.975196,25.408495,-2.268695
3.831271,-0.86827,34.474353,-0.941995
3.871442,2.704879,30.682301,-4.040419
3.90157,5.442004,22.385233,-6.384745
3.931698,-0.656353,19.443243,-9.115084
3.971869,-17.343175,7.957421,-6.554307
4.007003,-38.707289,-14.118082,2.618216
4.042152,-32.622667,-19.073174,9.879308
4.072281,-10.991613,-19.090696,8.741949
4.10743,9.942652,-18.245394,12.218765
4.14258,16.753487,-14.131687,11.167175
4.172708,23.184345,-12.108303,14.477217
4.207858,20.794477,-11.887224,9.47975
4.237986,5.46258,-15.102376,8.477314
4.273135,-3.320548,-15.024063,13.006704
4.308285,-43.33156,-26.191317,7.397234
4.338413,-47.080415,-13.637399,2.086744
4.373563,-30.636615,14.567999,-0.35272
4.408712,-10.146805,27.330699,-6.286735
4.43884,-0.4646,24.497284,-1.003518
4.473989,1.401987,35.362844,-2.220206
4.509139,5.696795,32.084357,-4.219295
4.539267,-0.795311,20.671997,-5.364944
4.574416,-6.658599,20.154162,-6.641481
4.604545,-15.423459,11.089723,-6.115124
4.634678,-39.744726,-12.901043,3.241171
4.664806,-54.010735,-20.811946,13.898461
4.704977,-10.572383,-23.982844,7.558725
4.735106,11.127967,-19.80346,8.159525
4.770277,15.486663,-14.133187,6.435891
4.805405,25.284956,-17.235835,12.47836
4.835533,22.928757,-9.45313,17.457472
4.865661,12.148155,-10.353385,14.059476
4.905832,-9.058397,-19.190782,11.288353
4.93596,-25.442897,-21.778199,10.352933
4.966089,-49.282056,-15.915109,2.673831
5.00626,-37.866766,2.830054,-2.893148
5.036388,-16.870853,25.94103,-3.484052
5.066516,-3.656331,32.591378,-6.000944
5.106687,2.380208,41.068552,-3.639397
5.136815,9.890427,39.263428,-4.154157
5.166943,0.079972,24.852985,-9.001961
5.207114,-6.615352,9.232225,-10.135659
5.237243,-20.091134,1.172431,-2.867264
5.267371,-45.920902,-19.448929,8.593119
5.297499,-34.901703,-19.5963,13.349857
5.33767,-4.931331,-15.635184,4.805407
5.367798,12.441908,-13.804033,4.975229
5.407969,17.379098,-11.111367,4.873325
5.438097,22.214942,-8.132272,11.953352
5.468227,25.688765,-7.627209,9.01545
5.498355,17.985367,-12.024775,10.242952
5.538526,1.659336,-16.811003,16.382386
5.568654,-19.962476,-16.334481,18.517447
5.598782,-41.265262,-25.499422,12.719496
5.638953,-44.927399,-5.673686,-0.548612
5.669081,-25.970257,13.138038,-3.552553
5.69921,-13.953604,26.395641,-4.77624
5.739381,-5.120749,29.394064,-3.148965
5.769509,-2.611033,33.863127,-4.563767
5.799637,1.144485,28.779944,-7.178046
5.839808,-3.184259,11.64903,-11.09194
5.869936,-15.867717,5.54202,-12.380614
5.900064,-23.573538,-14.349946,-4.432977
5.940235,-35.193154,-18.387166,7.532806
5.970364,-6.01248,-15.356959,8.865302
6.000492,10.697704,-11.693614,10.01971
6.040663,13.501083,-5.645496,14.955621
6.070791,17.647447,-11.089476,16.70927
6.100919,16.329296,-10.788239,14.645493
6.14109,19.982863,-9.648864,6.834532
6.171219,13.987472,-9.612244,6.637284
6.201347,-1.674229,-12.640142,7.97976
6.231475,-15.502655,-21.830698,11.184033
6.271646,-48.092773,-26.179058,6.197245
6.301774,-40.983129,-3.248152,-0.908561
6.341945,-20.330902,15.481691,-5.319568
6.372073,-5.729286,25.097563,-5.340302
6.402202,-1.679577,35.401628,-5.595643
6.43233,4.437568,37.096743,-7.470721
6.472501,-4.556928,24.375194,-13.926384
6.502629,-12.388334,10.125262,-14.671309
6.532757,-27.312996,-5.754799,-6.304716
6.572928,-46.231809,-14.561313,9.588171
6.603057,-20.574834,-13.188577,10.266708
